"Source:","/home/havard/Development/tdt4295/pcb/centrifuge_mcu/centrifuge_mcu.kicad_sch"
"Date:","Thu 29 Sep 2022 12:48:37 AM CEST"
"Tool:","Eeschema (6.0.7)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","114"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Purchase","Size","Threshold","Title","Tolerance"
"","","C148","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/taiyo-yuden/LMF212B7104KGHT/10379109","","","",""
"","","C149","10u","Device:C_Polarized_US","Capacitor_SMD:CP_Elec_4x5.4","~","https://www.digikey.no/no/products/detail/nichicon/UWT1C100MCL1GB/589914","","","",""
"","","C150","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/taiyo-yuden/LMF212B7104KGHT/10379109","","","",""
"","","D101","LED_YELLOW_2V_20mA","Device:LED","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/sunled/XZMYK54W-8/8259039","","","",""
"","","J101","Conn_02x06_Odd_Even","Connector_Generic:Conn_02x06_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","~","","","","",""
"","","J102","FPGA_Power","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","",""
"","","J103","FPGA_extra","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","",""
"","","J104","FPGA_control","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","",""
"","","J105","FPGA_SPI","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","",""
"","","J106","DDC_I2Cs","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","",""
"","","J107","ACD_I2C","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"","","J108","ACD_RST","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"","","J109","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","~","https://www.digikey.no/no/products/detail/molex/1050171001/5293188","","","",""
"","","J110","Barrel_Jack","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_CUI_PJ-102AH_Horizontal","~","https://www.digikey.no/no/products/detail/tensility-international-corp/54-00133/9685442","","","",""
"","","J111","PowerIn","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"","","J112","PowerPads","Connector:Conn_01x02_Male","centrifuge_mcu:PowerPads","~","","","","",""
"","","J113","Conn_02x10_Odd_Even","Connector_Generic:Conn_02x10_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x10_P1.27mm_Vertical","~","","Cortex Debug+ETM Connector (1.27mm)","","",""
"","","J114","Conn_02x07_Counter_Clockwise","Connector_Generic:Conn_02x07_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","~","","","","Extra GPIO",""
"","","J115","SD_Card","Connector:SD_Card","Connector_Card:SD_Kyocera_145638009511859+","http://portal.fciconnect.com/Comergent//fci/drawing/10067847.pdf","","","","",""
"","","L101","1.5u","Device:L","centrifuge_mcu:L_Sumida_CR75","~","https://www.digikey.no/no/products/detail/sumida-america-inc/0415CDMCCDS-1R5MC/9490383","","","","Ip>2.5A, Irms>2.1A"
"","","L102","1.5u","Device:L","centrifuge_mcu:L_Sumida_CR75","~","https://www.digikey.no/no/products/detail/sumida-america-inc/0415CDMCCDS-1R5MC/9490383","","","","Ipeek>2.8A, Irms>2.1A"
"","","L103","2.2u","Device:L","Inductor_SMD:L_Vishay_IHLP-2020","~","https://www.digikey.no/no/products/detail/vishay-dale/IHLP2020CZER2R2M5A/13985228","","","","Ip>2.9A, Irms>2.1A"
"","","L104","1.5u","Device:L","centrifuge_mcu:L_Sumida_CR75","~","https://www.digikey.no/no/products/detail/sumida-america-inc/0415CDMCCDS-1R5MC/9490383","","","","Ip>2.8A, Irms>2.1A"
"","","L105","2.2u","Device:L","Inductor_SMD:L_Vishay_IHLP-2020","~","https://www.digikey.no/no/products/detail/vishay-dale/IHLP2020CZER2R2M5A/13985228","","","","Ip>2.9A, Irms>2.1A"
"","","L106","3.3u","Device:L","centrifuge_mcu:L_TDK_7065","~","https://www.digikey.no/no/products/detail/tdk-corporation/SPM6545VT-3R3M-D/14638088","","","","Ipeek>3.7A, Irms>2.3A"
"","","Q101","Q_PMOS_DGS","Device:Q_PMOS_GDS","Package_TO_SOT_THT:TO-220-3_Vertical","~","https://www.digikey.no/no/products/detail/infineon-technologies/SPP80P06PHXKSA1/2081673","","","",""
"","","Q102","Q_NMOS_GSD","Device:Q_NMOS_GSD","Package_TO_SOT_SMD:SOT-323_SC-70_Handsoldering","~","https://www.digikey.no/no/products/detail/panjit-international-inc/PJC138K-AU-R1-000A1/14661065","","","",""
